Player,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
"Afflalo, Arron",1,1,2016-10-26,31-011,SAC,@,PHO,W (+19),1,26:13,2,7,.286,2,2,1.000,2,2,1.000,0,3,3,0,1,0,0,3,8,4.6,+6
"Afflalo, Arron",2,2,2016-10-27,31-012,SAC,,SAS,L (-8),1,35:36,3,9,.333,1,3,.333,0,0,,0,4,4,1,1,0,0,1,7,4.4,+4
"Afflalo, Arron",3,3,2016-10-29,31-014,SAC,,MIN,W (+3),1,30:12,2,6,.333,1,4,.250,0,0,,0,0,0,2,0,1,0,2,5,2.9,+18
"Afflalo, Arron",4,4,2016-10-31,31-016,SAC,@,ATL,L (-11),1,25:26,3,3,1.000,0,0,,3,3,1.000,0,2,2,2,1,0,1,3,9,8.9,-3
"Afflalo, Arron",5,5,2016-11-01,31-017,SAC,@,MIA,L (-12),1,41:04,7,17,.412,1,5,.200,3,3,1.000,0,3,3,0,1,0,2,4,18,7.2,-4
"Afflalo, Arron",6,6,2016-11-03,31-019,SAC,@,ORL,L (-8),1,18:26,1,6,.167,0,2,.000,1,1,1.000,0,0,0,1,0,0,0,1,3,-0.5,+1
"Afflalo, Arron",7,7,2016-11-05,31-021,SAC,@,MIL,L (-26),1,22:31,2,10,.200,1,3,.333,2,2,1.000,1,1,2,0,0,0,0,3,7,0.6,-15
"Afflalo, Arron",8,8,2016-11-06,31-022,SAC,@,TOR,W (+5),1,36:18,5,8,.625,1,1,1.000,1,2,.500,0,5,5,1,0,0,0,3,12,9.0,0
"Afflalo, Arron",9,9,2016-11-08,31-024,SAC,,NOP,W (+8),1,29:11,5,6,.833,2,3,.667,3,3,1.000,0,2,2,2,0,0,0,2,15,14.0,+2
"Afflalo, Arron",10,10,2016-11-10,31-026,SAC,,LAL,L (-10),1,31:23,3,10,.300,1,2,.500,2,2,1.000,0,6,6,0,0,0,1,1,9,3.6,-8
"Afflalo, Arron",11,11,2016-11-11,31-027,SAC,@,POR,L (-2),1,31:39,5,9,.556,0,1,.000,5,6,.833,1,1,2,0,0,0,0,1,15,10.9,-4
"Afflalo, Arron",12,12,2016-11-16,31-032,SAC,,SAS,L (-5),1,21:41,3,8,.375,1,3,.333,0,0,,1,1,2,1,0,0,0,2,7,3.5,-14
"Afflalo, Arron",13,13,2016-11-18,31-034,SAC,,LAC,L (-6),1,24:17,1,3,.333,0,2,.000,4,4,1.000,0,1,1,0,0,0,0,1,6,4.2,-1
"Afflalo, Arron",14,14,2016-11-20,31-036,SAC,,TOR,W (+3),0,19:56,5,7,.714,1,2,.500,3,3,1.000,1,4,5,1,0,0,0,1,14,13.3,-2
"Afflalo, Arron",15,15,2016-11-23,31-039,SAC,,OKC,W (+15),1,30:21,3,7,.429,0,1,.000,2,2,1.000,0,1,1,4,0,0,0,1,8,7.0,+2
"Afflalo, Arron",16,16,2016-11-25,31-041,SAC,,HOU,L (-13),0,15:48,2,6,.333,0,2,.000,0,0,,0,2,2,5,0,0,0,1,4,4.3,-12
"Afflalo, Arron",17,17,2016-11-27,31-043,SAC,@,BRK,W (+17),1,20:44,2,3,.667,0,0,,0,0,,0,4,4,0,0,0,0,1,4,3.5,+4
"Afflalo, Arron",18,18,2016-11-28,31-044,SAC,@,WAS,L (-6),1,20:57,1,6,.167,0,3,.000,1,1,1.000,0,1,1,1,0,0,0,1,3,-0.2,-11
"Afflalo, Arron",19,19,2016-12-02,31-048,SAC,@,BOS,L (-5),1,16:45,2,4,.500,0,0,,1,2,.500,1,2,3,2,2,0,0,0,5,7.3,-9
