Rk,G,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,19-352,OKC,,MIL,L (-11),0,21:56,4,9,.444,1,2,.500,4,6,.667,4,0,4,4,0,1,2,2,13,11.0,+5
2,2,19-355,OKC,@,HOU,L (-12),0,18:32,2,7,.286,0,1,.000,2,2,1.000,0,2,2,3,1,0,2,2,6,2.8,-19
3,3,19-356,OKC,,MIN,W (+3),0,25:26,6,13,.462,0,1,.000,2,3,.667,1,0,1,2,2,0,3,1,14,7.6,+7
4,4,19-359,OKC,,BOS,L (-13),0,19:11,4,13,.308,3,5,.600,2,2,1.000,3,2,5,1,1,0,2,3,13,6.7,-3
5,5,19-361,OKC,@,UTA,L (-7),0,17:12,1,8,.125,0,0,,4,4,1.000,1,0,1,1,0,0,2,1,6,-0.2,-5
6,6,19-363,OKC,,ATL,L (-4),0,25:13,6,14,.429,0,2,.000,3,3,1.000,1,0,1,2,2,0,3,0,15,8.7,+7
7,7,19-364,OKC,@,IND,L (-8),0,25:35,1,10,.100,1,3,.333,3,4,.750,0,2,2,4,2,1,3,4,6,0.5,+6
8,8,20-000,OKC,,ORL,L (-17),0,30:02,3,19,.158,0,2,.000,7,8,.875,5,0,5,4,0,1,3,3,13,3.3,-9
9,9,20-002,OKC,@,NYK,L (-10),0,27:37,6,12,.500,1,4,.250,6,7,.857,5,5,10,6,1,1,3,5,19,18.5,+1
10,10,20-003,OKC,@,PHI,L (-25),0,23:48,3,12,.250,0,0,,7,8,.875,1,0,1,4,1,1,2,4,13,7.0,+3
11,11,20-005,OKC,,HOU,L (-11),0,28:03,5,14,.357,0,3,.000,4,6,.667,1,1,2,2,5,0,3,3,14,8.6,+2
12,12,20-007,OKC,,LAC,L (-20),0,30:03,4,11,.364,0,0,,2,2,1.000,1,4,5,4,1,0,3,1,10,6.2,+4
13,13,20-009,OKC,,NOH,L (-25),0,28:46,5,14,.357,0,0,,5,6,.833,1,2,3,3,2,0,4,3,15,7.0,-6
14,14,20-010,OKC,@,NOH,L (-12),0,30:18,3,10,.300,1,3,.333,2,2,1.000,0,1,1,11,3,0,2,3,9,11.0,0
15,15,20-013,OKC,,PHO,L (-1),0,30:52,6,11,.545,0,0,,3,4,.750,3,2,5,5,3,0,1,3,15,16.3,+3
16,16,20-014,OKC,@,CLE,L (-35),0,29:04,4,14,.286,0,0,,5,8,.625,2,2,4,5,5,0,1,2,13,12.3,-16
17,17,20-016,OKC,,MIN,L (-2),0,34:27,6,10,.600,0,1,.000,3,4,.750,1,2,3,8,1,1,3,3,15,14.4,+6
18,18,20-017,OKC,@,MEM,W (+8),1,38:04,5,11,.455,0,0,,2,3,.667,5,0,5,4,2,0,2,1,12,11.8,+13
19,19,20-021,OKC,@,CHA,L (-6),1,36:06,2,9,.222,0,0,,6,8,.750,1,1,2,5,1,0,5,3,10,3.0,-11
20,20,20-023,OKC,@,ORL,L (-9),1,33:36,8,14,.571,1,2,.500,2,4,.500,4,5,9,5,2,0,5,3,19,15.2,+2
