subj_idx,stim,rt,response
1, XSEP,1.219,1
1, XSLP,2.2204,1
1, XSNP,1.1856,1
1, YSNP,1.3192,1
1, YSLP,1.6529,1
1, XFEP,1.7031,1
1, YFLP,0.98542,1
1, XFNP,0.9186,1
1, YSEP,0.78523,1
1, YSEP,1.0188,1
1, XSLP,1.119,1
1, YSNP,0.71831,1
1, XFEP,0.61822,1
1, XSNP,1.7864,1
1, YSLP,0.88518,1
1, XFLP,0.86859,1
1, XFEP,0.68487,1
1, YFNP,0.80176,1
1, XFEP,0.5682,1
1, YFLP,0.71821,1
1, XFNP,0.81852,1
1, YSNP,0.75164,1
1, XSLP,1.0021,1
1, YFEP,1.0521,1
1, YFNP,0.635,1
1, YSEP,0.85186,1
1, XFLP,0.68487,1
1, XSEP,0.95191,1
1, YFNP,0.90188,0
1, XFLP,0.76848,1
1, XSEP,0.91864,1
1, YSLP,0.85184,1
1, YFNP,1.4025,1
1, XSEP,1.3358,1
1, YFNP,0.60152,1
1, XFLP,0.7684,1
1, XFLP,2.3038,1
1, XSNP,1.5863,1
1, YFEP,0.93542,1
1, YFLP,0.85193,1
1, XSEP,1.2356,1
1, XSNP,0.76847,1
1, XSEP,0.93535,1
1, YFLP,1.0021,1
1, XSNP,2.2704,1
1, YFLP,1.2858,1
1, XSNP,1.0187,1
1, YFEP,0.80179,1
1, XFLP,0.86856,1
1, YFNP,0.68495,1
1, XFEP,0.6183,1
1, YFEP,0.53473,1
1, XSLP,0.88523,1
1, YFNP,0.63489,1
1, XSEP,1.0521,1
1, YSLP,1.1356,1
1, YSNP,0.65157,1
1, XSNP,1.5361,1
1, YFEP,0.60155,1
1, XSLP,0.86855,1
1, YSNV,0.93542,1
1, XFLV,0.80177,1
1, YSEV,0.76833,1
1, YSLV,0.7182,1
1, YFEV,0.91867,1
1, YSNV,0.65157,1
1, XFNV,0.50144,1
1, YFLV,0.60152,1
1, XFEV,0.55152,1
1, XFNV,0.86849,1
1, XFEV,0.50138,1
1, XFLV,0.53474,1
1, YFLV,0.78501,1
1, YSNV,1.2691,1
1, XSEV,0.7684,1
1, YSNV,0.76834,1
1, YFEV,0.98531,1
1, XSLV,0.98545,1
1, YSEV,1.703,1
1, XSLV,0.90197,1
1, YSNV,0.83509,1
1, YFNV,1.1689,1
1, YFEV,0.90192,1
1, XSLV,1.1523,1
1, YFLV,1.0688,1
1, XSNV,0.83505,1
1, XSEV,1.3692,1
1, XSEV,0.66834,1
1, XSNV,0.88518,1
1, XFLV,0.71849,1
1, YFNV,0.75175,1
