subj_idx,stim,rt,response,rulert
1, XSEP,1.219,1,3.2555
1, XSLP,2.2204,1,1.2692
1, XSNP,1.1856,1,1.1523
1, YSNP,1.3192,1,0.65166
1, YSLP,1.6529,1,0.902
1, XFEP,1.7031,1,1.2192
1, YFLP,0.98542,1,0.75184
1, XFNP,0.9186,1,0.66841
1, YSEP,0.78523,1,0.73521
1, YSEP,1.0188,1,0.81857
1, XSLP,1.119,1,0.51816
1, YSNP,0.71831,1,0.55148
1, XFEP,0.61822,1,1.0524
1, XSNP,1.7864,1,0.51803
1, YSLP,0.88518,1,1.3526
1, XFLP,0.86859,1,0.5182
1, XFEP,0.68487,1,0.71852
1, YFNP,0.80176,1,0.63507
1, XFEP,0.5682,1,0.86872
1, YFLP,0.71821,1,0.51815
1, XFNP,0.81852,1,0.5182
1, YSNP,0.75164,1,0.58498
1, XSLP,1.0021,1,1.1858
1, YFEP,1.0521,1,0.66852
1, YFNP,0.635,1,0.51816
1, YSEP,0.85186,1,0.63481
1, XFLP,0.68487,1,0.63509
1, XSEP,0.95191,1,0.51809
1, YFNP,0.90188,0,0.60162
1, XFLP,0.76848,1,0.81862
1, XSEP,0.91864,1,0.66839
1, YSLP,0.85184,1,0.61845
1, YFNP,1.4025,1,0.58489
1, XSEP,1.3358,1,0.65171
1, YFNP,0.60152,1,0.75179
1, XFLP,0.7684,1,0.58486
1, XFLP,2.3038,1,0.75185
1, XSNP,1.5863,1,0.66851
1, YFEP,0.93542,1,1.2693
1, YFLP,0.85193,1,0.65177
1, XSEP,1.2356,1,0.56819
1, XSNP,0.76847,1,0.53488
1, XSEP,0.93535,1,0.68508
1, YFLP,1.0021,1,0.73512
1, XSNP,2.2704,1,0.51824
1, YFLP,1.2858,1,0.78507
1, XSNP,1.0187,1,0.58492
1, YFEP,0.80179,1,1.0689
1, XFLP,0.86856,1,0.70172
1, YFNP,0.68495,1,0.63495
1, XFEP,0.6183,1,0.86869
1, YFEP,0.53473,1,1.4361
1, XSLP,0.88523,1,0.58491
1, YFNP,0.63489,1,0.51808
1, XSEP,1.0521,1,0.81856
1, YSLP,1.1356,1,0.71855
1, YSNP,0.65157,1,0.5182
1, XSNP,1.5361,1,0.85193
1, YFEP,0.60155,1,0.78524
1, XSLP,0.86855,1,0.51827
1, YSNV,0.93542,1,1.3028
