subj_idx,rt,response
1,1.219,1
1,2.2204,1
1,1.1856,1
1,1.3192,1
1,1.6529,1
1,1.7031,1
1,0.98542,1
1,0.9186,1
1,0.78523,1
1,1.0188,1
1,1.119,1
1,0.71831,1
1,0.61822,1
1,1.7864,1
1,0.88518,1
1,0.86859,1
1,0.68487,1
1,0.80176,1
1,0.5682,1
1,0.71821,1
1,0.81852,1
1,0.75164,1
1,1.0021,1
1,1.0521,1
1,0.635,1
1,0.85186,1
1,0.68487,1
1,0.95191,1
1,0.90188,0
1,0.76848,1
1,0.91864,1
1,0.85184,1
1,1.4025,1
1,1.3358,1
1,0.60152,1
1,0.7684,1
1,2.3038,1
1,1.5863,1
1,0.93542,1
1,0.85193,1
1,1.2356,1
1,0.76847,1
1,0.93535,1
1,1.0021,1
1,2.2704,1
1,1.2858,1
1,1.0187,1
1,0.80179,1
1,0.86856,1
1,0.68495,1
1,0.6183,1
1,0.53473,1
1,0.88523,1
1,0.63489,1
1,1.0521,1
1,1.1356,1
1,0.65157,1
1,1.5361,1
1,0.60155,1
1,0.86855,1
1,0.93542,1
1,0.80177,1
1,0.76833,1
1,0.7182,1
1,0.91867,1
1,0.65157,1
1,0.50144,1
1,0.60152,1
1,0.55152,1
1,0.86849,1
1,0.50138,1
1,0.53474,1
1,0.78501,1
1,1.2691,1
1,0.7684,1
1,0.76834,1
1,0.98531,1
1,0.98545,1
1,1.703,1
1,0.90197,1
1,0.83509,1
1,1.1689,1
1,0.90192,1
1,1.1523,1
1,1.0688,1
1,0.83505,1
1,1.3692,1
1,0.66834,1
1,0.88518,1
1,0.71849,1
1,0.75175,1
1,0.58482,1
1,0.7519,1
1,0.70165,1
1,1.269,1
1,0.76834,1
1,0.55151,1
1,0.66822,1
1,0.5014,1
1,1.0854,1
1,1.0855,1
1,1.0354,1
1,1.2858,1
1,1.3358,1
1,1.2023,1
1,0.7184,1
1,0.8352,1
1,0.9353,1
1,0.91864,1
1,0.78515,1
1,0.66823,1
1,0.58477,1
1,0.7684,1
1,0.88518,1
1,0.81847,1
1,0.91861,1
1,0.61814,1
1,0.68489,1
1,0.50146,1
1,0.75168,1
1,1.3025,1
1,0.78522,1
1,0.76842,1
1,0.80177,1
1,0.53478,1
1,0.81851,1
1,0.80179,0
1,0.76849,1
1,1.002,1
1,1.3691,1
1,0.83508,1
1,1.2691,1
1,0.81859,1
1,0.75173,1
1,1.6362,1
1,1.0688,1
1,1.7697,1
1,0.80175,1
1,0.68504,1
1,0.75169,1
1,0.86857,1
1,0.66841,1
1,0.78513,1
1,0.71839,1
1,0.78517,1
